https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1617667200000,2021-04-06 00:00:00,SOL/USDT,23.0191,25.3590,21.6509,25.0987,8941838,209637629.7549,294113
1617580800000,2021-04-05 00:00:00,SOL/USDT,23.7908,24.7662,22.8012,23.0180,7207157,170954770.0748,245987
1617494400000,2021-04-04 00:00:00,SOL/USDT,22.4916,25.5801,21.9685,23.7879,10647138,255593470.2103,374576
1617408000000,2021-04-03 00:00:00,SOL/USDT,19.8292,23.8660,19.8025,22.4904,13481119,294937617.2307,430978
1617321600000,2021-04-02 00:00:00,SOL/USDT,19.0497,19.8812,18.5557,19.8353,4648128,89345828.5018,154770
1617235200000,2021-04-01 00:00:00,SOL/USDT,19.4048,20.4105,18.7493,19.0497,5780647,112743840.6303,190251
1617148800000,2021-03-31 00:00:00,SOL/USDT,19.0923,19.8747,18.0105,19.4044,8685490,166000155.8636,272068
1617062400000,2021-03-30 00:00:00,SOL/USDT,18.9847,20.9191,18.9662,19.0933,10133956,201729373.1928,326093
1616976000000,2021-03-29 00:00:00,SOL/USDT,18.1022,19.0470,17.6614,18.9811,9607545,176922817.5646,303268
1616889600000,2021-03-28 00:00:00,SOL/USDT,16.4774,19.4130,16.3408,18.1022,15997022,291046668.1286,490775
1616803200000,2021-03-27 00:00:00,SOL/USDT,14.7724,16.8346,14.7201,16.4803,11072721,174502835.6369,314519
1616716800000,2021-03-26 00:00:00,SOL/USDT,12.9801,14.7999,12.3500,14.7725,9559593,131666738.8021,270077
1616630400000,2021-03-25 00:00:00,SOL/USDT,13.5827,13.7016,12.5356,12.9776,8414030,110422085.7114,230109
1616544000000,2021-03-24 00:00:00,SOL/USDT,14.1468,15.3607,13.5712,13.5875,7704282,111615635.6307,223506
1616457600000,2021-03-23 00:00:00,SOL/USDT,14.8014,15.2136,14.0464,14.1420,7638553,111196018.6148,224930
1616371200000,2021-03-22 00:00:00,SOL/USDT,14.3346,16.6120,14.1739,14.7957,13944627,218893523.1707,403094
1616284800000,2021-03-21 00:00:00,SOL/USDT,14.1859,14.3876,13.6340,14.3395,5895698,82648893.1078,172377
1616198400000,2021-03-20 00:00:00,SOL/USDT,14.1579,14.9722,14.0978,14.1892,5604771,81582431.3448,168996
1616112000000,2021-03-19 00:00:00,SOL/USDT,14.2142,14.4937,13.8400,14.1535,5306402,75337571.4455,160294
1616025600000,2021-03-18 00:00:00,SOL/USDT,14.2327,14.7800,13.9803,14.2183,6142480,87815906.8268,176385
1615939200000,2021-03-17 00:00:00,SOL/USDT,13.6656,14.3129,13.0263,14.2288,6940124,95036756.0090,196040
1615852800000,2021-03-16 00:00:00,SOL/USDT,14.1823,14.3216,13.2504,13.6639,6764146,92577066.2364,189353
1615766400000,2021-03-15 00:00:00,SOL/USDT,14.4680,14.8548,13.6121,14.1840,6842673,97222432.3590,192150
1615680000000,2021-03-14 00:00:00,SOL/USDT,15.3267,15.4014,14.3662,14.4642,6264959,92408969.3880,175138
1615593600000,2021-03-13 00:00:00,SOL/USDT,14.5796,15.4449,13.9093,15.3216,7560873,111388656.4938,204793
1615507200000,2021-03-12 00:00:00,SOL/USDT,16.0798,16.5288,14.0713,14.5742,9227235,142443028.8062,256935
1615420800000,2021-03-11 00:00:00,SOL/USDT,14.2371,16.3334,13.6708,16.0763,10042978,149744985.0954,257097
1615334400000,2021-03-10 00:00:00,SOL/USDT,14.9155,15.2490,14.0550,14.2333,7702664,112393298.8952,196245
1615248000000,2021-03-09 00:00:00,SOL/USDT,13.6346,15.0332,13.3359,14.9102,7237374,103748671.3918,192428
1615161600000,2021-03-08 00:00:00,SOL/USDT,13.8493,13.9463,13.1000,13.6344,6024217,81441660.3973,151072
1615075200000,2021-03-07 00:00:00,SOL/USDT,13.0586,14.0407,12.7300,13.8450,6983603,94024256.2636,176612
1614988800000,2021-03-06 00:00:00,SOL/USDT,12.5576,13.3026,11.8944,13.0512,6367349,79739854.7966,155020
1614902400000,2021-03-05 00:00:00,SOL/USDT,13.0804,13.1057,12.1419,12.5659,6246948,78365258.9930,137003
1614816000000,2021-03-04 00:00:00,SOL/USDT,14.0915,14.2854,12.7583,13.0784,7098703,95732600.3544,162101
1614729600000,2021-03-03 00:00:00,SOL/USDT,13.9628,14.7641,13.7627,14.0941,8283702,118241063.2760,194244
