Date,Tweets
6/24/2019,6423
6/25/2019,5481
6/26/2019,6915
6/27/2019,5920
6/28/2019,5910
6/29/2019,5903
6/30/2019,4817
7/1/2019,5281
7/2/2019,5333
7/3/2019,9184
7/4/2019,6762
7/5/2019,4967
7/6/2019,4356
7/7/2019,4347
7/8/2019,5804
7/9/2019,7138
7/10/2019,8031
7/11/2019,6569
7/12/2019,5919
7/13/2019,5733
7/14/2019,5176
7/15/2019,5909
7/16/2019,6359
7/17/2019,6507
7/18/2019,5894
7/19/2019,5372
7/20/2019,4475
7/21/2019,4397
7/22/2019,5911
7/23/2019,5467
7/24/2019,5089
7/25/2019,4969
7/26/2019,5190
7/27/2019,4250
7/28/2019,4264
7/29/2019,5350
7/30/2019,7717
7/31/2019,10191
8/1/2019,5972
8/2/2019,5265
8/3/2019,4363
8/4/2019,4009
8/5/2019,4908
8/6/2019,4725
8/7/2019,4853
8/8/2019,4482
8/9/2019,4081
8/10/2019,3650
8/11/2019,3638
8/12/2019,4050
8/13/2019,4449
8/14/2019,4277
8/15/2019,4256
8/16/2019,4367
8/17/2019,3748
8/18/2019,3685
8/19/2019,4546
8/20/2019,4244
8/21/2019,4269
8/22/2019,4324
8/23/2019,4246
8/24/2019,3679
8/25/2019,3400
8/26/2019,4377
8/27/2019,4440
8/28/2019,4817
8/29/2019,4515
8/30/2019,4258
8/31/2019,3330
9/1/2019,2905
9/2/2019,3703
9/3/2019,3571
9/4/2019,3783
9/5/2019,3841
9/6/2019,3601
9/7/2019,3396
9/8/2019,3290
9/9/2019,3667
9/10/2019,4014
9/11/2019,3854
9/12/2019,4229
9/13/2019,3865
9/14/2019,3397
9/15/2019,3606
9/16/2019,4515
9/17/2019,4583
9/18/2019,4314
9/19/2019,4520
9/20/2019,4428
9/21/2019,3540
9/22/2019,3226
9/23/2019,4044
9/24/2019,4297
9/25/2019,4238
9/26/2019,3938
9/27/2019,3882
9/28/2019,3516
9/29/2019,3650
9/30/2019,4510
10/1/2019,3797
10/2/2019,3513
10/3/2019,3434
10/4/2019,3327
10/5/2019,3532
10/6/2019,3141
10/7/2019,4045
10/8/2019,4242
10/9/2019,4426
10/10/2019,4622
10/11/2019,4516
