https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1.61689E+12,3/28/2021 0:00,DOT/USDT,32.626,33.284,31.258,32.269,8338671.6,270414267.9,441705
1.6168E+12,3/27/2021 0:00,DOT/USDT,33.187,33.534,31.158,32.628,12413221.4,402764439.2,558463
1.61672E+12,3/26/2021 0:00,DOT/USDT,29.807,33.4,29.792,33.195,13493384,425868980.4,593492
1.61663E+12,3/25/2021 0:00,DOT/USDT,30.203,31.275,28.397,29.807,26515392.5,792657170.1,1046210
1.61654E+12,3/24/2021 0:00,DOT/USDT,34.232,36.165,27.12,30.193,21832780.8,703047647,940073
1.61646E+12,3/23/2021 0:00,DOT/USDT,35.284,36.337,34.046,34.237,10775906.4,379301508.8,498336
1.61637E+12,3/22/2021 0:00,DOT/USDT,36.727,37.844,35.052,35.278,12373196.3,454724290.6,577862
1.61628E+12,3/21/2021 0:00,DOT/USDT,37.272,38.151,36.129,36.723,12061765,446880197.2,561254
1.6162E+12,3/20/2021 0:00,DOT/USDT,38.24,40.21,37.19,37.272,15773431.3,618241868.1,690802
1.61611E+12,3/19/2021 0:00,DOT/USDT,35.388,38.96,34.643,38.252,17582921.3,658006304.2,763552
1.61603E+12,3/18/2021 0:00,DOT/USDT,36.153,37.072,35.335,35.386,10298064.1,373680901.7,461720
1.61594E+12,3/17/2021 0:00,DOT/USDT,35.44,36.48,34.418,36.154,12297926.3,436957538.3,566115
1.61585E+12,3/16/2021 0:00,DOT/USDT,34.321,35.583,32.01,35.44,15057332.1,512699578,675391
1.61577E+12,3/15/2021 0:00,DOT/USDT,36.453,38.652,33.699,34.33,18687485.3,670504649.5,749335
1.61568E+12,3/14/2021 0:00,DOT/USDT,37.255,38.049,36.313,36.454,10328726.9,383414454.1,464145
1.61559E+12,3/13/2021 0:00,DOT/USDT,35.981,38.412,34.74,37.242,12412835.8,460255908.1,536385
1.61551E+12,3/12/2021 0:00,DOT/USDT,36.954,37.552,34.386,35.957,12707699.1,456788945.5,562112
1.61542E+12,3/11/2021 0:00,DOT/USDT,37.596,38.111,35.879,36.957,15347670.4,567725086.7,684912
